Category: All categories

Month,Starbucks: (United States)
2004-01,12
2004-02,12
2004-03,12
2004-04,12
2004-05,12
2004-06,14
2004-07,15
2004-08,13
2004-09,14
2004-10,16
2004-11,15
2004-12,17
2005-01,15
2005-02,15
2005-03,15
2005-04,15
2005-05,16
2005-06,17
2005-07,16
2005-08,16
2005-09,16
2005-10,16
2005-11,17
2005-12,19
2006-01,16
2006-02,16
2006-03,18
2006-04,17
2006-05,16
2006-06,17
2006-07,17
2006-08,17
2006-09,18
2006-10,19
2006-11,20
2006-12,21
2007-01,21
2007-02,19
2007-03,22
2007-04,18
2007-05,21
2007-06,21
2007-07,22
2007-08,22
2007-09,22
2007-10,24
2007-11,25
2007-12,28
2008-01,25
2008-02,25
2008-03,23
2008-04,25
2008-05,23
2008-06,23
2008-07,32
2008-08,21
2008-09,21
2008-10,22
2008-11,29
2008-12,25
2009-01,25
2009-02,21
2009-03,19
2009-04,20
2009-05,20
2009-06,19
2009-07,22
2009-08,20
2009-09,21
2009-10,22
2009-11,22
2009-12,23
2010-01,22
2010-02,19
2010-03,22
2010-04,23
2010-05,24
2010-06,23
2010-07,25
2010-08,24
2010-09,26
2010-10,27
2010-11,32
2010-12,33
2011-01,37
2011-02,31
2011-03,33
2011-04,35
2011-05,37
2011-06,34
2011-07,34
2011-08,34
2011-09,37
2011-10,37
2011-11,44
2011-12,44
2012-01,38
2012-02,37
2012-03,37
2012-04,36
2012-05,41
2012-06,37
2012-07,40
2012-08,37
2012-09,43
2012-10,41
2012-11,45
2012-12,50
2013-01,40
2013-02,38
2013-03,43
2013-04,39
2013-05,48
2013-06,44
2013-07,45
2013-08,43
2013-09,48
2013-10,44
2013-11,55
2013-12,56
2014-01,45
2014-02,46
2014-03,45
2014-04,46
2014-05,53
2014-06,49
2014-07,46
2014-08,44
2014-09,48
2014-10,45
2014-11,60
2014-12,60
2015-01,48
2015-02,43
2015-03,48
2015-04,51
2015-05,55
2015-06,52
2015-07,52
2015-08,51
2015-09,55
2015-10,52
2015-11,77
2015-12,66
2016-01,55
2016-02,52
2016-03,53
2016-04,55
2016-05,61
2016-06,63
2016-07,61
2016-08,58
2016-09,61
2016-10,55
2016-11,69
2016-12,74
2017-01,60
2017-02,56
2017-03,58
2017-04,76
2017-05,69
2017-06,65
2017-07,63
2017-08,62
2017-09,61
2017-10,59
2017-11,69
2017-12,76
2018-01,62
2018-02,54
2018-03,59
2018-04,74
2018-05,68
2018-06,68
2018-07,67
2018-08,69
2018-09,67
2018-10,65
2018-11,78
2018-12,81
2019-01,65
2019-02,62
2019-03,66
2019-04,68
2019-05,86
2019-06,74
2019-07,78
2019-08,76
2019-09,76
2019-10,68
2019-11,86
2019-12,89
2020-01,72
2020-02,70
2020-03,67
2020-04,56
2020-05,77
2020-06,80
2020-07,70
2020-08,73
2020-09,69
2020-10,71
2020-11,83
2020-12,88
2021-01,75
2021-02,68
2021-03,73
2021-04,74
2021-05,77
2021-06,75
2021-07,73
2021-08,78
2021-09,79
2021-10,76
2021-11,100
2021-12,93
2022-01,80
2022-02,68
2022-03,71
2022-04,73
