Category: All categories

Month,Dunkin Donuts: (United States)
2004-01,11
2004-02,11
2004-03,13
2004-04,11
2004-05,11
2004-06,13
2004-07,10
2004-08,12
2004-09,10
2004-10,12
2004-11,13
2004-12,14
2005-01,11
2005-02,11
2005-03,11
2005-04,14
2005-05,13
2005-06,15
2005-07,14
2005-08,13
2005-09,12
2005-10,13
2005-11,14
2005-12,16
2006-01,14
2006-02,15
2006-03,14
2006-04,15
2006-05,18
2006-06,19
2006-07,18
2006-08,17
2006-09,18
2006-10,17
2006-11,16
2006-12,20
2007-01,18
2007-02,18
2007-03,22
2007-04,17
2007-05,19
2007-06,21
2007-07,22
2007-08,19
2007-09,19
2007-10,20
2007-11,19
2007-12,21
2008-01,22
2008-02,22
2008-03,21
2008-04,24
2008-05,30
2008-06,24
2008-07,24
2008-08,22
2008-09,22
2008-10,24
2008-11,23
2008-12,23
2009-01,23
2009-02,24
2009-03,27
2009-04,28
2009-05,23
2009-06,28
2009-07,26
2009-08,23
2009-09,24
2009-10,27
2009-11,24
2009-12,25
2010-01,25
2010-02,25
2010-03,27
2010-04,24
2010-05,28
2010-06,27
2010-07,25
2010-08,26
2010-09,26
2010-10,26
2010-11,26
2010-12,26
2011-01,33
2011-02,35
2011-03,37
2011-04,38
2011-05,40
2011-06,46
2011-07,46
2011-08,44
2011-09,44
2011-10,43
2011-11,44
2011-12,45
2012-01,43
2012-02,40
2012-03,40
2012-04,42
2012-05,46
2012-06,51
2012-07,46
2012-08,43
2012-09,48
2012-10,49
2012-11,47
2012-12,47
2013-01,45
2013-02,47
2013-03,47
2013-04,47
2013-05,49
2013-06,63
2013-07,51
2013-08,52
2013-09,58
2013-10,53
2013-11,57
2013-12,58
2014-01,50
2014-02,53
2014-03,55
2014-04,57
2014-05,55
2014-06,60
2014-07,58
2014-08,56
2014-09,69
2014-10,57
2014-11,58
2014-12,59
2015-01,53
2015-02,53
2015-03,55
2015-04,57
2015-05,60
2015-06,75
2015-07,66
2015-08,63
2015-09,77
2015-10,66
2015-11,63
2015-12,67
2016-01,58
2016-02,61
2016-03,62
2016-04,65
2016-05,72
2016-06,82
2016-07,76
2016-08,64
2016-09,77
2016-10,67
2016-11,65
2016-12,75
2017-01,63
2017-02,64
2017-03,67
2017-04,73
2017-05,73
2017-06,87
2017-07,81
2017-08,77
2017-09,75
2017-10,74
2017-11,71
2017-12,79
2018-01,64
2018-02,66
2018-03,70
2018-04,73
2018-05,77
2018-06,86
2018-07,84
2018-08,82
2018-09,83
2018-10,77
2018-11,74
2018-12,82
2019-01,71
2019-02,74
2019-03,77
2019-04,88
2019-05,86
2019-06,96
2019-07,89
2019-08,84
2019-09,80
2019-10,76
2019-11,84
2019-12,85
2020-01,70
2020-02,75
2020-03,71
2020-04,70
2020-05,84
2020-06,92
2020-07,86
2020-08,90
2020-09,100
2020-10,95
2020-11,88
2020-12,94
2021-01,80
2021-02,83
2021-03,81
2021-04,86
2021-05,94
2021-06,94
2021-07,93
2021-08,95
2021-09,87
2021-10,84
2021-11,86
2021-12,85
2022-01,72
2022-02,74
2022-03,70
2022-04,77
